Indicator,Disaggregation combinations using this value
#1-1-1,14
#1-2-1,15
#1-2-2,20
#1-a-2,2
#10-1-1,1
#10-4-1,1
#11-1-1,2
#11-6-1,1
#12-3-1,7
#13-1-1,1
#14-2-1,17
#15-1-1,1
#15-3-1,1
#15-5-1,1
#16-1-1,1
#16-3-2,1
#16-5-1,1
#16-6-1,1
#16-9-1,1
#17-1-1,1
#17-1-2,1
#17-3-2,1
#17-4-1,1
#17-6-1,3
#17-8-1,5
#2-1-2,26
#2-2-1,10
#2-a-1,3
#2-a-2,1
#3-1-1,1
#3-1-2,44
#3-3-2,1
#3-3-3,1
#4-1-1,36
#4-3-1,23
#4-5-1,44
#4-c-1,10
#5-2-1,6
#5-3-1,2
#5-3-2,3
#7-1-1,1
#7-1-2,1
#7-2-1,1
#8-10-1,2
#8-10-2,1
#8-5-1,3
#8-5-2,12
#9-1-2,7
#9-2-1,2
