Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Proportion of individuals using the internet,,,,Percent,,56.6
2017,Normal value,Units,Proportion of individuals using the internet,,,,Percent,,98.9
2013,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,,42.1
2017,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,,97.9
2013,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,,59.3
2017,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,,98.4
2013,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,,58.7
2017,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,,98.4
2013,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,,54.7
2017,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,,98.0
