Year,Reference area,Degree of urbanisation,Value
2017,,Urban,11
2017,Northern,Urban,18
2017,Volta,Urban,22
2017,Eastern,Urban,9
2017,Central,Urban,16
2017,Western,Urban,11
2017,Brong Ahafo,Urban,9
2017,Ashanti,Urban,6
2017,Upper West,Urban,6
2017,Greater Accra,Urban,8
2017,Upper East,Urban,4
2017,,Rural,29
2017,Northern,Rural,49
2017,Volta,Rural,45
2017,Eastern,Rural,32
2017,Central,Rural,31
2017,Western,Rural,30
2017,Brong Ahafo,Rural,28
2017,Ashanti,Rural,27
2017,Upper West,Rural,22
2017,Greater Accra,Rural,14
2017,Upper East,Rural,10
