Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Age,Degree of urbanisation,Disability status,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with speech disability,Percent,,5.0
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with sight disability,Percent,,24.0
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with physical disability,Percent,,17.0
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with intellectual disability,Percent,,5.0
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with hearing disability,Percent,,19.0
2017,Normal value,Units,"Unemployment rate, by disability [8.5.2]",,,,,Persons with emotional disability,Percent,,30.0
2014,Normal value,Units,Unemployment rate [8.5.2],,,,,,Percent,,5.5
2017,Normal value,Units,Unemployment rate [8.5.2],,,,,,Percent,,8.4
2014,Normal value,Units,Unemployment rate [8.5.2],,Male,,,,Percent,,4.8
2017,Normal value,Units,Unemployment rate [8.5.2],,Male,,,,Percent,,7.5
2014,Normal value,Units,Unemployment rate [8.5.2],,Female,,,,Percent,,5.5
2017,Normal value,Units,Unemployment rate [8.5.2],,Female,,,,Percent,,9.2
2014,Normal value,Units,Unemployment rate [8.5.2],,,,Urban,,Percent,,6.5
2017,Normal value,Units,Unemployment rate [8.5.2],,,,Urban,,Percent,,11.4
2014,Normal value,Units,Unemployment rate [8.5.2],,Male,,Urban,,Percent,,6.1
2017,Normal value,Units,Unemployment rate [8.5.2],,Male,,Urban,,Percent,,10.7
2014,Normal value,Units,Unemployment rate [8.5.2],,Female,,Urban,,Percent,,6.9
2017,Normal value,Units,Unemployment rate [8.5.2],,Female,,Urban,,Percent,,12.0
2014,Normal value,Units,Unemployment rate [8.5.2],,,,Rural,,Percent,,3.9
2017,Normal value,Units,Unemployment rate [8.5.2],,,,Rural,,Percent,,5.2
2014,Normal value,Units,Unemployment rate [8.5.2],,Male,,Rural,,Percent,,3.6
2017,Normal value,Units,Unemployment rate [8.5.2],,Male,,Rural,,Percent,,4.1
2014,Normal value,Units,Unemployment rate [8.5.2],,Female,,Rural,,Percent,,4.1
2017,Normal value,Units,Unemployment rate [8.5.2],,Female,,Rural,,Percent,,6.2
2014,Normal value,Units,Unemployment rate [8.5.2],,,15 to 24 years old,,,Percent,,10.9
2017,Normal value,Units,Unemployment rate [8.5.2],,,15 to 24 years old,,,Percent,,18.4
2014,Normal value,Units,Unemployment rate [8.5.2],,Male,15 to 24 years old,,,Percent,,10.2
2017,Normal value,Units,Unemployment rate [8.5.2],,Male,15 to 24 years old,,,Percent,,17.9
2014,Normal value,Units,Unemployment rate [8.5.2],,Female,15 to 24 years old,,,Percent,,11.7
2017,Normal value,Units,Unemployment rate [8.5.2],,Female,15 to 24 years old,,,Percent,,19.1
