Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,24.2
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,37.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,10.6
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,25.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,19.1
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,23.4
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,39.5
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,7.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,25.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,17.6
