Year,Observation status,Unit multiplier,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,,Percent,,1.0
2017,Normal value,Units,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,,Percent,,1.1
2018,Normal value,Units,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,,Percent,,0.51
2019,Normal value,Units,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,,Percent,,0.7
2020,Normal value,Units,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,,Percent,,0.71
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,79.59
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,0.02
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,65.4
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,0.51
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,0.0
2019,Normal value,Units,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,,_L_GH_CEDI,,145.52
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Government of Ghana,_L_GH_CEDI,,0.16
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Internally Generated Funds,_L_GH_CEDI,,0.05
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Other Fund,_L_GH_CEDI,,0.0
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Statutory,_L_GH_CEDI,,1.53
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Development Partner,_L_GH_CEDI,,0.0
