Year,Type of product,Value
2016,Maize,18.3
2016,Rice,5.5
2016,Sorghum,7.5
2016,Cassava,25.5
2016,Yam,22.0
2016,Fish(Marine),26.6
2016,Fish(Artisanal),26.7
2017,Maize,17.5
2017,Rice,5.2
2017,Sorghum,7.3
2017,Cassava,25.1
2017,Yam,21.5
2017,Fish(Marine),26.6
2017,Fish(Artisanal),26.7
2018,Maize,17.7
2018,Rice,4.8
2018,Sorghum,7.1
2018,Cassava,24.7
2018,Yam,21.0
2018,Fish(Marine),26.6
2018,Fish(Artisanal),26.7
2019,Maize,16.9
2019,Rice,4.5
2019,Sorghum,5.7
2019,Cassava,23.7
2019,Yam,20.8
2019,Fish(Marine),25.3
2019,Fish(Artisanal),25.5
