Year,Observation status,Unit multiplier,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Homes deliveries by region and locality type,,Urban,Percent,,11
2017,Normal value,Units,Homes deliveries by region and locality type,Northern,Urban,Percent,08_o,18
2017,Normal value,Units,Homes deliveries by region and locality type,Volta,Urban,Percent,04_o,22
2017,Normal value,Units,Homes deliveries by region and locality type,Eastern,Urban,Percent,05_o,9
2017,Normal value,Units,Homes deliveries by region and locality type,Central,Urban,Percent,02_o,16
2017,Normal value,Units,Homes deliveries by region and locality type,Western,Urban,Percent,01_o,11
2017,Normal value,Units,Homes deliveries by region and locality type,Brong Ahafo,Urban,Percent,07_o,9
2017,Normal value,Units,Homes deliveries by region and locality type,Ashanti,Urban,Percent,06_o,6
2017,Normal value,Units,Homes deliveries by region and locality type,Upper West,Urban,Percent,10_o,6
2017,Normal value,Units,Homes deliveries by region and locality type,Greater Accra,Urban,Percent,03_o,8
2017,Normal value,Units,Homes deliveries by region and locality type,Upper East,Urban,Percent,09_o,4
2017,Normal value,Units,Homes deliveries by region and locality type,,Rural,Percent,,29
2017,Normal value,Units,Homes deliveries by region and locality type,Northern,Rural,Percent,08_o,49
2017,Normal value,Units,Homes deliveries by region and locality type,Volta,Rural,Percent,04_o,45
2017,Normal value,Units,Homes deliveries by region and locality type,Eastern,Rural,Percent,05_o,32
2017,Normal value,Units,Homes deliveries by region and locality type,Central,Rural,Percent,02_o,31
2017,Normal value,Units,Homes deliveries by region and locality type,Western,Rural,Percent,01_o,30
2017,Normal value,Units,Homes deliveries by region and locality type,Brong Ahafo,Rural,Percent,07_o,28
2017,Normal value,Units,Homes deliveries by region and locality type,Ashanti,Rural,Percent,06_o,27
2017,Normal value,Units,Homes deliveries by region and locality type,Upper West,Rural,Percent,10_o,22
2017,Normal value,Units,Homes deliveries by region and locality type,Greater Accra,Rural,Percent,03_o,14
2017,Normal value,Units,Homes deliveries by region and locality type,Upper East,Rural,Percent,09_o,10
