Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2007,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,8500
2007,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,12164
2007,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,19204
2007,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,31368
2007,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,61
2008,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,1600
2008,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,11573
2008,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,19612
2008,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,31185
2008,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,63
2009,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,1600
2009,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,14813
2009,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,24041
2009,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,38854
2009,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,62
2010,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,1600
2010,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,17224
2010,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,24796
2010,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,42020
2010,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,59
2011,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,2000
2011,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,18904
2011,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,31777
2011,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,50681
2011,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,63
2013,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,1886
2013,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,16195
2013,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,28535
2013,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,44730
2013,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,64
2015,Normal value,Units,Enrolment for National Functional Literacy Programme (number of classes),,,Number,,584
2015,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Male,Number,,5612
2015,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,Female,Number,,8417
2015,Normal value,Units,Enrolment for National Functional Literacy Programme (number of students),,,Number,,14029
2015,Normal value,Units,Enrolment for National Functional Literacy Programme (percentage girls),,Female,Percent,,60
