Year,SERIES,Sex,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,3.Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,,Percentage (%),36.9
2018,5.Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,Verbal assault,Percentage (%),32.5
2018,5.Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,Curse,Percentage (%),6.5
2018,4.Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,Rape/Seduction,Percentage (%),1.8
2018,4.Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,Defilement,Percentage (%),0.9
2018,4.Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Female,Sexual Harassment,Percentage (%),1.9
2010,1.Reported cases of domestic violence,,,Number,12706.0
2011,1.Reported cases of domestic violence,,,Number,17965.0
2012,1.Reported cases of domestic violence,,,Number,17655.0
2013,1.Reported cases of domestic violence,,,Number,19171.0
2014,1.Reported cases of domestic violence,,,Number,17655.0
2015,1.Reported cases of domestic violence,,,Number,15749.0
2016,1.Reported cases of domestic violence,,,Number,12377.0
2017,1.Reported cases of domestic violence,,,Number,8324.0
