Year,Value,SERIES
2015,63.59,Ocean Health Index
2016,63.99,Ocean Health Index
2017,62.99,Ocean Health Index
2018,62.17,Ocean Health Index
2019,58.93,Ocean Health Index
2015,53.68,Food provision (OHI goal)
2016,53.03,Food provision (OHI goal)
2017,52.66,Food provision (OHI goal)
2018,52.75,Food provision (OHI goal)
2019,58.61,Food provision (OHI goal)
2015,53.68,Wild caught Fisheries(OHI sub-goal)
2016,53.03,Wild caught Fisheries(OHI sub-goal)
2017,52.66,Wild caught Fisheries(OHI sub-goal)
2018,52.75,Wild caught Fisheries(OHI sub-goal)
2019,58.61,Wild caught Fisheries(OHI sub-goal)
2015,47.42,Artisanal fishing opportunities (OHI goal)
2016,47.29,Artisanal fishing opportunities (OHI goal)
2017,47.33,Artisanal fishing opportunities (OHI goal)
2018,47.64,Artisanal fishing opportunities (OHI goal)
2019,47.6,Artisanal fishing opportunities (OHI goal)
2015,68.25,Natural products (OHI goal)
2016,75.8,Natural products (OHI goal)
2017,67.58,Natural products (OHI goal)
2018,60.28,Natural products (OHI goal)
2019,4.66,Natural products (OHI goal)
2015,99.77,Carbon storage (OHI goal)
2016,99.77,Carbon storage (OHI goal)
2017,99.77,Carbon storage (OHI goal)
2018,99.77,Carbon storage (OHI goal)
2019,99.77,Carbon storage (OHI goal)
2015,99.86,Coastal protection (OHI goal)
2016,99.86,Coastal protection (OHI goal)
2017,99.86,Coastal protection (OHI goal)
2018,99.86,Coastal protection (OHI goal)
2019,99.86,Coastal protection (OHI goal)
2015,94.68,Livelihoods & economies (OHI goal)
2016,94.68,Livelihoods & economies (OHI goal)
2017,94.68,Livelihoods & economies (OHI goal)
2018,94.68,Livelihoods & economies (OHI goal)
2019,94.68,Livelihoods & economies (OHI goal)
2015,89.35,Livelihoods (OHI sub-goal)
2016,89.35,Livelihoods (OHI sub-goal)
2017,89.35,Livelihoods (OHI sub-goal)
2018,89.35,Livelihoods (OHI sub-goal)
2019,89.36,Livelihoods (OHI sub-goal)
2015,100.0,Economies (OHI sub-goal)
2016,100.0,Economies (OHI sub-goal)
2017,100.0,Economies (OHI sub-goal)
2018,100.0,Economies (OHI sub-goal)
2019,100.0,Economies (OHI sub-goal)
2015,17.48,Tourism & recreation (OHI goal)
2016,15.65,Tourism & recreation (OHI goal)
2017,14.47,Tourism & recreation (OHI goal)
2018,14.81,Tourism & recreation (OHI goal)
2019,15.42,Tourism & recreation (OHI goal)
2015,37.72,Sense of place (OHI goal)
2016,36.7,Sense of place (OHI goal)
2017,36.68,Sense of place (OHI goal)
2018,36.64,Sense of place (OHI goal)
2019,36.69,Sense of place (OHI goal)
2015,72.74,Iconic species (OHI sub-goal)
2016,70.7,Iconic species (OHI sub-goal)
2017,70.67,Iconic species (OHI sub-goal)
2018,70.58,Iconic species (OHI sub-goal)
2019,71.94,Iconic species (OHI sub-goal)
2015,2.7,Lasting special places (OHI sub-goal)
2016,2.69,Lasting special places (OHI sub-goal)
2017,2.69,Lasting special places (OHI sub-goal)
2018,2.7,Lasting special places (OHI sub-goal)
2019,1.45,Lasting special places (OHI sub-goal)
2015,31.92,Clean water (OHI goal)
2016,32.05,Clean water (OHI goal)
2017,31.68,Clean water (OHI goal)
2018,31.27,Clean water (OHI goal)
2019,39.96,Clean water (OHI goal)
2015,85.1,Biodiversity (OHI goal)
2016,85.04,Biodiversity (OHI goal)
2017,85.15,Biodiversity (OHI goal)
2018,83.99,Biodiversity (OHI goal)
2019,92.08,Biodiversity (OHI goal)
2015,90.97,Habitat (OHI sub-goal)
2016,91.17,Habitat (OHI sub-goal)
2017,91.6,Habitat (OHI sub-goal)
2018,89.66,Habitat (OHI sub-goal)
2019,90.64,Habitat (OHI sub-goal)
2015,79.24,Species condition (OHI sub-goal)
2016,78.9,Species condition (OHI sub-goal)
2017,78.69,Species condition (OHI sub-goal)
2018,78.31,Species condition (OHI sub-goal)
2019,93.53,Species condition (OHI sub-goal)
