Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2016,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_4,SKILL_NMRCY,PT,,22.0
2016,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_4,SKILL_NMRCY,PT,,22.0
2016,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_4,SKILL_NMRCY,PT,,22.0
2016,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_4,SKILL_LTRCY,PT,,37.2
2016,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_4,SKILL_LTRCY,PT,,35.0
2016,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_4,SKILL_LTRCY,PT,,40.0
2016,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_6,SKILL_NMRCY,PT,,24.9
2016,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_6,SKILL_NMRCY,PT,,27.0
2016,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_6,SKILL_NMRCY,PT,,23.0
2016,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_6,SKILL_LTRCY,PT,,38.0
2016,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_6,SKILL_LTRCY,PT,,37.0
2016,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_6,SKILL_LTRCY,PT,,39.0
2018,A,0,SE_TOT_PRFL,,,,,SKILL_LTRCY,PT,,21.4
2018,A,0,SE_TOT_PRFL,,,U,,SKILL_LTRCY,PT,,33.6
2018,A,0,SE_TOT_PRFL,,,R,,SKILL_LTRCY,PT,,12.4
2018,A,0,SE_TOT_PRFL,,F,,,SKILL_LTRCY,PT,,22.4
2018,A,0,SE_TOT_PRFL,,F,U,,SKILL_LTRCY,PT,,35.6
2018,A,0,SE_TOT_PRFL,,F,R,,SKILL_LTRCY,PT,,12.4
2018,A,0,SE_TOT_PRFL,,M,,,SKILL_LTRCY,PT,,20.4
2018,A,0,SE_TOT_PRFL,,M,U,,SKILL_LTRCY,PT,,31.6
2018,A,0,SE_TOT_PRFL,,M,R,,SKILL_LTRCY,PT,,12.5
2018,A,0,SE_TOT_PRFL,,,,,SKILL_NMRCY,PT,,15.7
2018,A,0,SE_TOT_PRFL,,,U,,SKILL_NMRCY,PT,,22.0
2018,A,0,SE_TOT_PRFL,,,R,,SKILL_NMRCY,PT,,11.2
2018,A,0,SE_TOT_PRFL,,F,,,SKILL_NMRCY,PT,,14.0
2018,A,0,SE_TOT_PRFL,,F,U,,SKILL_NMRCY,PT,,20.6
2018,A,0,SE_TOT_PRFL,,F,R,,SKILL_NMRCY,PT,,9.1
2018,A,0,SE_TOT_PRFL,,M,,,SKILL_NMRCY,PT,,17.3
2018,A,0,SE_TOT_PRFL,,M,U,,SKILL_NMRCY,PT,,23.3
2018,A,0,SE_TOT_PRFL,,M,R,,SKILL_NMRCY,PT,,13.1
2018,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_4,SKILL_LTRCY,PT,,19.5
2018,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_4,SKILL_LTRCY,PT,,22.8
2018,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_4,SKILL_LTRCY,PT,,16.0
2018,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_6,SKILL_LTRCY,PT,,45.8
2018,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_6,SKILL_LTRCY,PT,,47.8
2018,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_6,SKILL_LTRCY,PT,,43.8
2018,A,0,SE_TOT_PRFL,,,,ISCED11_2,SKILL_LTRCY,PT,,57.8
2018,A,0,SE_TOT_PRFL,,M,,ISCED11_2,SKILL_LTRCY,PT,,54.8
2018,A,0,SE_TOT_PRFL,,F,,ISCED11_2,SKILL_LTRCY,PT,,60.0
2018,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_4,SKILL_NMRCY,PT,,15.6
2018,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_4,SKILL_NMRCY,PT,,16.4
2018,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_4,SKILL_NMRCY,PT,,14.8
2018,A,0,SE_TOT_PRFL,,,,_L_GH_Primary_6,SKILL_NMRCY,PT,,31.1
2018,A,0,SE_TOT_PRFL,,M,,_L_GH_Primary_6,SKILL_NMRCY,PT,,36.6
2018,A,0,SE_TOT_PRFL,,F,,_L_GH_Primary_6,SKILL_NMRCY,PT,,25.5
2018,A,0,SE_TOT_PRFL,,,,ISCED11_2,SKILL_NMRCY,PT,,38.0
2018,A,0,SE_TOT_PRFL,,M,,ISCED11_2,SKILL_NMRCY,PT,,38.1
2018,A,0,SE_TOT_PRFL,,F,,ISCED11_2,SKILL_NMRCY,PT,,37.9
