Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2015,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,46
2015,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,70
2016,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,51
2016,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,72
2017,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,55
2017,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,75
2018,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,29
2018,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,22
2015,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,39
2015,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,73
2016,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,42
2016,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,74
2017,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,71
2017,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,89
2018,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,39
2018,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,25
2015,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,62
2015,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,82
2016,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,65
2016,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,82
2017,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,65
2017,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,84
2018,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,33
2018,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,22
2015,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,65
2015,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,80
2016,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,67
2016,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,81
2017,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,66
2017,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,82
2018,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,32
2018,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,20
