Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2013,A,0,SI_POV_DAY1,01_o,,,PT,9.0
2013,A,0,SI_POV_DAY1,03_o,,,PT,2.9
2013,A,0,SI_POV_DAY1,04_o,,,PT,17.2
2013,A,0,SI_POV_DAY1,05_o,,,PT,9.6
2013,A,0,SI_POV_DAY1,06_o,,,PT,5.5
2013,A,0,SI_POV_DAY1,07_o,,,PT,13.3
2013,A,0,SI_POV_DAY1,08_o,,,PT,36.0
2013,A,0,SI_POV_DAY1,09_o,,,PT,31.0
2013,A,0,SI_POV_DAY1,10_o,,,PT,57.6
2017,A,0,SI_POV_DAY1,01_o,,,PT,3.8
2017,A,0,SI_POV_DAY1,03_o,,,PT,0.0
2017,A,0,SI_POV_DAY1,04_o,,,PT,16.5
2017,A,0,SI_POV_DAY1,05_o,,,PT,4.6
2017,A,0,SI_POV_DAY1,06_o,,,PT,3.4
2017,A,0,SI_POV_DAY1,07_o,,,PT,13.8
2017,A,0,SI_POV_DAY1,08_o,,,PT,39.3
2017,A,0,SI_POV_DAY1,09_o,,,PT,40.0
2017,A,0,SI_POV_DAY1,10_o,,,PT,55.6
2013,A,0,SI_POV_DAY1,,,,PT,11.6
2013,A,0,SI_POV_DAY1,,,R,PT,23.4
2013,A,0,SI_POV_DAY1,,,U,PT,3.9
2013,A,0,SI_POV_DAY1,,M,,PT,9.7
2013,A,0,SI_POV_DAY1,,F,,PT,6.9
2017,A,0,SI_POV_DAY1,,,,PT,11.9
2017,A,0,SI_POV_DAY1,,,R,PT,22.1
2017,A,0,SI_POV_DAY1,,,U,PT,1.9
2017,A,0,SI_POV_DAY1,,M,,PT,13.6
2017,A,0,SI_POV_DAY1,,F,,PT,7.6
