Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2019,A,0,_L_GH_010a01_03,,_L_GH_GOG,CUR_LCU,,79.59
2019,A,0,_L_GH_010a01_03,,_L_GH_IGF,CUR_LCU,,0.02
2019,A,0,_L_GH_010a01_03,,_L_GH_OTHER_FUNDS,CUR_LCU,,65.4
2019,A,0,_L_GH_010a01_03,,_L_GH_STATUTORY,CUR_LCU,,0.51
2019,A,0,_L_GH_010a01_03,,_L_GH_DP,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_03,,,CUR_LCU,,145.52
2019,A,0,_L_GH_010a01_04,,_L_GH_GOG,CUR_LCU,,0.16
2019,A,0,_L_GH_010a01_04,,_L_GH_IGF,CUR_LCU,,0.05
2019,A,0,_L_GH_010a01_04,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_04,,_L_GH_STATUTORY,CUR_LCU,,1.53
2019,A,0,_L_GH_010a01_04,,_L_GH_DP,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_04,,,CUR_LCU,,1.75
2019,A,0,_L_GH_010a01_05,,_L_GH_GOG,CUR_LCU,,170.08
2019,A,0,_L_GH_010a01_05,,_L_GH_IGF,CUR_LCU,,1.26
2019,A,0,_L_GH_010a01_05,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.53
2019,A,0,_L_GH_010a01_05,,_L_GH_STATUTORY,CUR_LCU,,20.7
2019,A,0,_L_GH_010a01_05,,_L_GH_DP,CUR_LCU,,1.64
2019,A,0,_L_GH_010a01_05,,,CUR_LCU,,194.21
2019,A,0,_L_GH_010a01_06,,_L_GH_GOG,CUR_LCU,,0.12
2019,A,0,_L_GH_010a01_06,,_L_GH_IGF,CUR_LCU,,0.03
2019,A,0,_L_GH_010a01_06,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_06,,_L_GH_STATUTORY,CUR_LCU,,1.75
2019,A,0,_L_GH_010a01_06,,_L_GH_DP,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_06,,,CUR_LCU,,1.89
2019,A,0,_L_GH_010a01_07,,_L_GH_GOG,CUR_LCU,,12.38
2019,A,0,_L_GH_010a01_07,,_L_GH_IGF,CUR_LCU,,0.77
2019,A,0,_L_GH_010a01_07,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.78
2019,A,0,_L_GH_010a01_07,,_L_GH_STATUTORY,CUR_LCU,,7.58
2019,A,0,_L_GH_010a01_07,,_L_GH_DP,CUR_LCU,,4.85
2019,A,0,_L_GH_010a01_07,,,CUR_LCU,,26.35
2019,A,0,_L_GH_010a01_08,,_L_GH_GOG,CUR_LCU,,0.11
2019,A,0,_L_GH_010a01_08,,_L_GH_IGF,CUR_LCU,,0.11
2019,A,0,_L_GH_010a01_08,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_08,,_L_GH_STATUTORY,CUR_LCU,,0.87
2019,A,0,_L_GH_010a01_08,,_L_GH_DP,CUR_LCU,,0.05
2019,A,0,_L_GH_010a01_08,,,CUR_LCU,,1.14
2019,A,0,_L_GH_010a01_09,,_L_GH_GOG,CUR_LCU,,11.49
2019,A,0,_L_GH_010a01_09,,_L_GH_IGF,CUR_LCU,,0.07
2019,A,0,_L_GH_010a01_09,,_L_GH_OTHER_FUNDS,CUR_LCU,,0.04
2019,A,0,_L_GH_010a01_09,,_L_GH_STATUTORY,CUR_LCU,,1.15
2019,A,0,_L_GH_010a01_09,,_L_GH_DP,CUR_LCU,,0.0
2019,A,0,_L_GH_010a01_09,,,CUR_LCU,,12.75
2019,A,0,_L_GH_010a01_01,,_L_GH_GOG,CUR_LCU,,273.92
2019,A,0,_L_GH_010a01_01,,_L_GH_IGF,CUR_LCU,,2.3
2019,A,0,_L_GH_010a01_01,,_L_GH_OTHER_FUNDS,CUR_LCU,,66.75
2019,A,0,_L_GH_010a01_01,,_L_GH_STATUTORY,CUR_LCU,,34.1
2019,A,0,_L_GH_010a01_01,,_L_GH_DP,CUR_LCU,,6.54
2019,A,0,_L_GH_010a01_01,,,CUR_LCU,,383.61
2019,A,0,_L_GH_010a01_02,,_L_GH_GOG,PT,,71.4
2019,A,0,_L_GH_010a01_02,,_L_GH_IGF,PT,,0.6
2019,A,0,_L_GH_010a01_02,,_L_GH_OTHER_FUNDS,PT,,17.4
2019,A,0,_L_GH_010a01_02,,_L_GH_STATUTORY,PT,,8.9
2019,A,0,_L_GH_010a01_02,,_L_GH_DP,PT,,1.7
2019,A,0,_L_GH_010a01_02,,,PT,,100.0
