Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,Value
2016,A,0,_L_GH_120301,,CPC2_1_112,PT,18.3
2016,A,0,_L_GH_120301,,CPC2_1_113,PT,5.5
2016,A,0,_L_GH_120301,,CPC2_1_114,PT,7.5
2016,A,0,_L_GH_120301,,_L_GH_Cassava,PT,25.5
2016,A,0,_L_GH_120301,,_L_GH_Yam,PT,22.0
2016,A,0,_L_GH_120301,,_L_GH_Fish_Marine,PT,26.6
2016,A,0,_L_GH_120301,,_L_GH_Fish_Artisanal,PT,26.7
2017,A,0,_L_GH_120301,,CPC2_1_112,PT,17.5
2017,A,0,_L_GH_120301,,CPC2_1_113,PT,5.2
2017,A,0,_L_GH_120301,,CPC2_1_114,PT,7.3
2017,A,0,_L_GH_120301,,_L_GH_Cassava,PT,25.1
2017,A,0,_L_GH_120301,,_L_GH_Yam,PT,21.5
2017,A,0,_L_GH_120301,,_L_GH_Fish_Marine,PT,26.6
2017,A,0,_L_GH_120301,,_L_GH_Fish_Artisanal,PT,26.7
2018,A,0,_L_GH_120301,,CPC2_1_112,PT,17.7
2018,A,0,_L_GH_120301,,CPC2_1_113,PT,4.8
2018,A,0,_L_GH_120301,,CPC2_1_114,PT,7.1
2018,A,0,_L_GH_120301,,_L_GH_Cassava,PT,24.7
2018,A,0,_L_GH_120301,,_L_GH_Yam,PT,21.0
2018,A,0,_L_GH_120301,,_L_GH_Fish_Marine,PT,26.6
2018,A,0,_L_GH_120301,,_L_GH_Fish_Artisanal,PT,26.7
2019,A,0,_L_GH_120301,,CPC2_1_112,PT,16.9
2019,A,0,_L_GH_120301,,CPC2_1_113,PT,4.5
2019,A,0,_L_GH_120301,,CPC2_1_114,PT,5.7
2019,A,0,_L_GH_120301,,_L_GH_Cassava,PT,23.7
2019,A,0,_L_GH_120301,,_L_GH_Yam,PT,20.8
2019,A,0,_L_GH_120301,,_L_GH_Fish_Marine,PT,25.3
2019,A,0,_L_GH_120301,,_L_GH_Fish_Artisanal,PT,25.5
