Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,A,N,_L_GH_140201_01,,IX,63.59
2016,A,0,_X,A,N,_L_GH_140201_01,,IX,63.99
2017,A,0,_X,A,N,_L_GH_140201_01,,IX,62.99
2018,A,0,_X,A,N,_L_GH_140201_01,,IX,62.17
2019,A,0,_X,A,N,_L_GH_140201_01,,IX,58.93
2015,A,0,_X,A,N,_L_GH_140201_02,,IX,53.68
2016,A,0,_X,A,N,_L_GH_140201_02,,IX,53.03
2017,A,0,_X,A,N,_L_GH_140201_02,,IX,52.66
2018,A,0,_X,A,N,_L_GH_140201_02,,IX,52.75
2019,A,0,_X,A,N,_L_GH_140201_02,,IX,58.61
2015,A,0,_X,A,N,_L_GH_140201_05,,IX,47.42
2016,A,0,_X,A,N,_L_GH_140201_05,,IX,47.29
2017,A,0,_X,A,N,_L_GH_140201_05,,IX,47.33
2018,A,0,_X,A,N,_L_GH_140201_05,,IX,47.64
2019,A,0,_X,A,N,_L_GH_140201_05,,IX,47.6
2015,A,0,_X,A,N,_L_GH_140201_06,,IX,68.25
2016,A,0,_X,A,N,_L_GH_140201_06,,IX,75.8
2017,A,0,_X,A,N,_L_GH_140201_06,,IX,67.58
2018,A,0,_X,A,N,_L_GH_140201_06,,IX,60.28
2019,A,0,_X,A,N,_L_GH_140201_06,,IX,4.66
2015,A,0,_X,A,N,_L_GH_140201_07,,IX,99.77
2016,A,0,_X,A,N,_L_GH_140201_07,,IX,99.77
2017,A,0,_X,A,N,_L_GH_140201_07,,IX,99.77
2018,A,0,_X,A,N,_L_GH_140201_07,,IX,99.77
2019,A,0,_X,A,N,_L_GH_140201_07,,IX,99.77
2015,A,0,_X,A,N,_L_GH_140201_08,,IX,99.86
2016,A,0,_X,A,N,_L_GH_140201_08,,IX,99.86
2017,A,0,_X,A,N,_L_GH_140201_08,,IX,99.86
2018,A,0,_X,A,N,_L_GH_140201_08,,IX,99.86
2019,A,0,_X,A,N,_L_GH_140201_08,,IX,99.86
2015,A,0,_X,A,N,_L_GH_140201_09,,IX,94.68
2016,A,0,_X,A,N,_L_GH_140201_09,,IX,94.68
2017,A,0,_X,A,N,_L_GH_140201_09,,IX,94.68
2018,A,0,_X,A,N,_L_GH_140201_09,,IX,94.68
2019,A,0,_X,A,N,_L_GH_140201_09,,IX,94.68
2015,A,0,_X,A,N,_L_GH_140201_10,,IX,89.35
2016,A,0,_X,A,N,_L_GH_140201_10,,IX,89.35
2017,A,0,_X,A,N,_L_GH_140201_10,,IX,89.35
2018,A,0,_X,A,N,_L_GH_140201_10,,IX,89.35
2019,A,0,_X,A,N,_L_GH_140201_10,,IX,89.36
2015,A,0,_X,A,N,_L_GH_140201_11,,IX,100.0
2016,A,0,_X,A,N,_L_GH_140201_11,,IX,100.0
