Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,A,0,_X,A,N,SE_TOT_PRFL,,,_L_GH_Primary_4,SKILL_MATH,PT,22.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,M,_L_GH_Primary_4,SKILL_MATH,PT,22.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,F,_L_GH_Primary_4,SKILL_MATH,PT,22.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,,_L_GH_Primary_4,SKILL_READ,PT,37.2
2016,A,0,_X,A,N,SE_TOT_PRFL,,M,_L_GH_Primary_4,SKILL_READ,PT,35.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,F,_L_GH_Primary_4,SKILL_READ,PT,40.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,,_L_GH_Primary_6,SKILL_MATH,PT,24.9
2016,A,0,_X,A,N,SE_TOT_PRFL,,M,_L_GH_Primary_6,SKILL_MATH,PT,27.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,F,_L_GH_Primary_6,SKILL_MATH,PT,23.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,,_L_GH_Primary_6,SKILL_READ,PT,38.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,M,_L_GH_Primary_6,SKILL_READ,PT,37.0
2016,A,0,_X,A,N,SE_TOT_PRFL,,F,_L_GH_Primary_6,SKILL_READ,PT,39.0
