Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2007,A,0,_L_GH_040301_1a,,,NUMBER,,8500
2007,A,0,_L_GH_040301_1b,,M,NUMBER,,12164
2007,A,0,_L_GH_040301_1b,,F,NUMBER,,19204
2007,A,0,_L_GH_040301_1b,,,NUMBER,,31368
2007,A,0,_L_GH_040301_1c,,F,PT,,61
2008,A,0,_L_GH_040301_1a,,,NUMBER,,1600
2008,A,0,_L_GH_040301_1b,,M,NUMBER,,11573
2008,A,0,_L_GH_040301_1b,,F,NUMBER,,19612
2008,A,0,_L_GH_040301_1b,,,NUMBER,,31185
2008,A,0,_L_GH_040301_1c,,F,PT,,63
2009,A,0,_L_GH_040301_1a,,,NUMBER,,1600
2009,A,0,_L_GH_040301_1b,,M,NUMBER,,14813
2009,A,0,_L_GH_040301_1b,,F,NUMBER,,24041
2009,A,0,_L_GH_040301_1b,,,NUMBER,,38854
2009,A,0,_L_GH_040301_1c,,F,PT,,62
2010,A,0,_L_GH_040301_1a,,,NUMBER,,1600
2010,A,0,_L_GH_040301_1b,,M,NUMBER,,17224
2010,A,0,_L_GH_040301_1b,,F,NUMBER,,24796
2010,A,0,_L_GH_040301_1b,,,NUMBER,,42020
2010,A,0,_L_GH_040301_1c,,F,PT,,59
2011,A,0,_L_GH_040301_1a,,,NUMBER,,2000
2011,A,0,_L_GH_040301_1b,,M,NUMBER,,18904
2011,A,0,_L_GH_040301_1b,,F,NUMBER,,31777
2011,A,0,_L_GH_040301_1b,,,NUMBER,,50681
2011,A,0,_L_GH_040301_1c,,F,PT,,63
2013,A,0,_L_GH_040301_1a,,,NUMBER,,1886
2013,A,0,_L_GH_040301_1b,,M,NUMBER,,16195
2013,A,0,_L_GH_040301_1b,,F,NUMBER,,28535
2013,A,0,_L_GH_040301_1b,,,NUMBER,,44730
2013,A,0,_L_GH_040301_1c,,F,PT,,64
2015,A,0,_L_GH_040301_1a,,,NUMBER,,584
2015,A,0,_L_GH_040301_1b,,M,NUMBER,,5612
2015,A,0,_L_GH_040301_1b,,F,NUMBER,,8417
2015,A,0,_L_GH_040301_1b,,,NUMBER,,14029
2015,A,0,_L_GH_040301_1c,,F,PT,,60
