Value,en,Disaggregation combinations using this value,Number of indicators
_L_GH_010202_01,Proportion of children 0-17 years who are deprived in various poverty dimension [1.2.2],8,1
_L_GH_010301_01,Cash transfer coverage of extremely poor households under Livelihood Empowerment Against Poverty (LEAP) programme,1,1
_L_GH_010301_02,Proportion of basic school students under Ghana School Feeding Programme (GSFP),1,1
_L_GH_010301_03,Total Beneficiaries of Free Senior High School Programme (FSHSP),1,1
_L_GH_010301_04,Proportion with access to affordable healthcare under National Health Insurance Scheme (NHIS),1,1
_L_GH_010a01_01,Official development assistance grants as percentage of GNI [1.a.1],1,1
_L_GH_010a01_02,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),6,1
_L_GH_010a01_03,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,6,1
_L_GH_010a01_04,Budget Allocation towards Extreme poverty (in million Ghana Cedi),6,1
_L_GH_010a01_05,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",6,1
_L_GH_010a01_06,Budget Allocation towards Social dimension (in million Ghana Cedi),6,1
_L_GH_010a01_07,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),6,1
_L_GH_010a01_08,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),6,1
_L_GH_010a01_09,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),6,1
_L_GH_010a01_10,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),6,1
_L_GH_020202,Proportion of children underweight,1,1
_L_GH_030101_01,Survey-based Maternal mortality ratio [3.1.1],1,1
_L_GH_030101_02,Census-based Maternal mortality ratio [3.1.1],1,1
_L_GH_030101_03,Institutional maternal mortality ratio,11,1
_L_GH_030102_01,Homes deliveries by region and locality type,22,1
_L_GH_030102_02,Type of care received during Health facility delivery,3,1
_L_GH_030102_03,Type of care received during Home delivery,3,1
_L_GH_030301,Number of new HIV infections [3.3.1],1,1
_L_GH_030c01_01,Doctor to population ratio,1,1
_L_GH_030c01_02,Nurse to population ratio,1,1
_L_GH_040101_01,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),12,1
_L_GH_040101_02,Children who demonstrated foundational literacy and numeracy by locality type (Percent),18,1
_L_GH_040101_03,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",18,1
_L_GH_040101_04,Proportion of pupils in JHS that passed Mathematics and English (Percent),6,1
_L_GH_040201_01,Proportion of children who are developmentally on track in literacy-numeracy,3,1
_L_GH_040201_02,Proportion of children who are developmentally on track in physical development,3,1
_L_GH_040201_03,Proportion of children who are developmentally on track in social-emotional development,3,1
_L_GH_040201_04,Proportion of children who are developmentally on track in learning,3,1
_L_GH_040301_1a,Number of Technical and Vocational Institutions,1,1
_L_GH_040301_1b,Number of Public Technical and Vocational Institutions,3,1
_L_GH_040301_1c,Number of Private Technical and Vocational Institutions,1,1
_L_GH_040301_2a,Enrolment in Technical and Vocational Institutions,1,1
_L_GH_040301_2b,Enrolment in Public Technical and Vocational Institutions,3,1
_L_GH_040301_2c,Enrolment in Private Technical and Vocational Institutions,1,1
_L_GH_040301_3a,Number of Senior High Technical Schools with TVET Programmes,3,1
_L_GH_040301_3b,Enrolment in TVET Programmes in Private Senior High Technical Schools as a share of total enrolment,1,1
_L_GH_040301_3c,Enrolment in TVET Programmes in Senior High Technical Schools,3,1
_L_GH_040301_4a,Number of Classes for National Functional Literacy Programme,1,1
_L_GH_040301_4b,Enrolment for National Functional Literacy Programme,3,1
_L_GH_040301_4c,Percentage of Female share in Enrolment for National Functional Literacy Programme,1,1
_L_GH_040a01_01,Proportion of schools with access to toilet facilities,2,1
_L_GH_040a01_02,Proportion of schools with access to urinals,2,1
_L_GH_040c01_01,Pupil-trained teacher ratio by academic year at the basic level,2,1
_L_GH_040c01_02,Comparison of Pupil-trained teacher ratio by year at the basic level,10,1
_L_GH_050201,Reported cases of domestic violence,1,1
_L_GH_050501_01,"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)",1,1
_L_GH_050b01_01,Proportion of individuals who use a mobile telephone [5.b.1],5,1
_L_GH_060201_01,Type of toilet facility used by households by locality type,12,1
_L_GH_060201_02,Proportion of population using handwashing facility with soap and water,1,1
_L_GH_070101_01,Proportion of household with access to electricity [7.1.1],3,1
_L_GH_070301_01,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",1,1
_L_GH_070301_02,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",1,1
_L_GH_080501_01,Average monthly earnings [8.5.1],3,1
_L_GH_080701_01,Percentage of children engaged in child labour,5,1
_L_GH_080701_02,Percentage of children engaged in hazardous forms of child labour,5,1
